year,month,district,community,record_type,elevation_zone,highland,u5_population,rainfall_mm,temperature_min_c,temperature_max_c,temperature_mean_c,frost_days,spi_drought_index,snow_access_risk,diarrhoea_rate_per1000,diarrhoea_cases_u5,ari_rate_per1000,ari_cases_u5,sam_rate_per1000,sam_cases_u5,safe_water_pct,improved_sanit_pct,stunting_pct_dhs,wasting_pct_dhs,mean_altitude_m,urban_pct,risk_score,risk_level
2022,1,Berea,Teyateyaneng,community,foothill,FALSE,2226,94.1,15.3,25.3,20.3,1,6.03,0,521.6,1149,289,641,16.3,40,87.1,65.2,16.9,0.7,1707,38.6,66.8,Medium
2022,1,Berea,Roma,community,foothill,FALSE,2332,102.2,17.4,27.4,22.4,1,-0.12,0,509.6,1190,298.2,734,14.4,44,78.1,64.3,16.9,0.7,1707,38.6,69.2,Medium
2022,1,Berea,Mapoteng,community,foothill,FALSE,2352,82.6,15.5,25.5,20.5,0,-0.43,0,578.9,1321,224,522,15.3,32,100,77.2,16.9,0.7,1707,38.6,60,Medium
2022,1,Berea,Kolonyama,community,foothill,FALSE,2271,83.6,17.2,27.2,22.2,0,0.34,0,569.5,1273,330.7,770,17.5,49,97.3,61.9,16.9,0.7,1707,38.6,67.1,Medium
2022,1,Berea,Ha Thetsane,community,foothill,FALSE,2210,95.2,16.3,26.3,21.3,0,3.33,0,569.7,1311,200.3,446,18.2,32,79.4,74.9,16.9,0.7,1707,38.6,62.1,Medium
2022,1,Berea,Peka,community,foothill,FALSE,2564,93.7,16.9,26.9,21.9,0,0.36,0,561.6,1496,294.1,715,24.6,61,91.8,72.6,16.9,0.7,1707,38.6,66.6,Medium
2022,1,Berea,Kolo,community,foothill,FALSE,2200,67.5,17.1,27.1,22.1,2,-0.09,0,479.2,1045,293.4,626,13.7,33,78.1,75.9,16.9,0.7,1707,38.6,64.3,Medium
2022,1,Berea,Morija,community,foothill,FALSE,2629,91.1,17.8,27.8,22.8,0,1.38,0,764.7,1975,344.9,904,18.5,46,75.5,48.6,16.9,0.7,1707,38.6,70.9,High
2022,1,Berea,Makhoakhoeng,community,foothill,FALSE,2335,87.9,17.1,27.1,22.1,0,0.73,0,495.1,1120,312.6,721,14.6,27,100,75.6,16.9,0.7,1707,38.6,66.3,Medium
2022,1,Berea,Nkau,community,foothill,FALSE,2357,97,17.6,27.6,22.6,0,1.98,0,641,1534,285.1,704,17,52,91.1,54.9,16.9,0.7,1707,38.6,66.6,Medium
2022,1,Berea,Ha Lejone,community,foothill,FALSE,2543,99.8,18.2,28.2,23.2,0,2.16,0,675.6,1685,317.3,828,15.6,47,88.3,58.9,16.9,0.7,1707,38.6,69.2,Medium
2022,1,Berea,Thaba Bosiu,community,foothill,FALSE,2327,93.3,15.7,25.7,20.7,2,-0.44,0,327.3,796,229.8,535,24.6,64,80.7,75.9,16.9,0.7,1707,38.6,63.5,Medium
2022,1,Butha-Buthe,Butha-Buthe Town,community,highland,TRUE,2023,79.6,13.1,23.1,18.1,0,-1.09,0,494.8,1043,325.7,674,7.7,14,86.4,75.2,13.6,0.8,1821,29.8,67.5,Medium
2022,1,Butha-Buthe,Motete,community,highland,TRUE,2174,109,13.7,23.7,18.7,2,-0.75,0,330.2,748,450.8,956,7.6,14,100,67.7,13.6,0.8,1821,29.8,74.8,High
2022,1,Butha-Buthe,Hololo,community,highland,TRUE,2677,113.7,12.9,22.9,17.9,1,1.35,0,657,1737,409.8,1074,11.7,21,89.4,61.9,13.6,0.8,1821,29.8,76.5,High
2022,1,Butha-Buthe,Khabo,community,highland,TRUE,2159,120.9,13,23,18,0,-0.86,0,506,1115,466.6,1013,8.4,12,82.5,69.5,13.6,0.8,1821,29.8,78,High
2022,1,Butha-Buthe,Ha Nqosa,community,highland,TRUE,2526,110.9,13.8,23.8,18.8,1,0.02,0,342.7,855,293.7,742,10.3,28,83,62.1,13.6,0.8,1821,29.8,69.9,Medium
2022,1,Butha-Buthe,Fobane,community,highland,TRUE,2406,97.4,13.3,23.3,18.3,0,-0.58,0,380.7,927,335.2,819,11,23,81.9,77,13.6,0.8,1821,29.8,70.9,High
2022,1,Butha-Buthe,Ntsekhe,community,highland,TRUE,2376,99.3,13.2,23.2,18.2,0,-0.59,0,435.4,1053,281.9,705,9.3,27,81.1,73.8,13.6,0.8,1821,29.8,67.9,Medium
2022,1,Butha-Buthe,Bethlehem,community,highland,TRUE,1977,96.3,11.9,21.9,16.9,2,5.64,0,397.2,785,372.9,721,11.3,28,75.2,78.2,13.6,0.8,1821,29.8,73.9,High
